Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Pepacton Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Pepacton Reservoir","Increase in Storage for Pepacton Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
8/4/2003, ,-5028980,6203851,-108268,-1066600
8/5/2003, ,-4403690,5141620,166137,-904070
8/6/2003, ,-3976870,4586424,299635,-909185
8/7/2003, ,-2197470,3195050,-83777.2,-913805
8/8/2003, ,-1079050,2819304,-126286,-1613970
8/9/2003, ,0,2848819,-59825.9,-2788990
8/10/2003, ,0,3470165,-26015.3,-3444150
8/11/2003, ,0,4655770,-62874.6,-4592900
8/12/2003, ,0,4287044,298777,-4585820
8/13/2003, ,0,2631877,-106624,-2525250
8/14/2003,494535, ,1761442,-140619,-2115360
8/15/2003,815924, ,1363885,-139780,-2040030
8/16/2003,866021, ,1309116,-136055,-2039080
8/17/2003,730076, ,1414508,-106509,-2038080
8/18/2003,915946, ,1239206,-117924,-2037230
8/19/2003,1182482, ,977193,-123511,-2036160
8/20/2003,1354114, ,807364,-126688,-2034790
8/21/2003,1443632, ,719143,-129559,-2033220
8/22/2003,1450104, ,710899,-133334,-2027670
8/23/2003,1502098, ,668661,-111148,-2059610
8/24/2003,1551756, ,624443,-118332,-2057870
8/25/2003,1561037, ,601843,-102946,-2059930
8/26/2003,1576384, ,602235,-116869,-2061750
8/27/2003,1586071, ,599088,-125240,-2059920
8/28/2003,1592376, ,568198,-124755,-2035820
8/29/2003,1190349, ,965279,-114159,-2041470
8/30/2003,1077676, ,841421,124618,-2043720
8/31/2003,1488305, ,651104,-111945,-2027460
9/1/2003, ,-699325,2813016,-97148.4,-2016540
9/2/2003, ,-14071700,14466972,615171,-1010480
9/3/2003, ,-7607900,19034034,1132830,-12559000
9/4/2003, ,0,14399946,368556,-14768500
9/5/2003, ,0,10959711,235411,-11195100
9/6/2003, ,0,5929195,-106864,-5822330
9/7/2003, ,0,4020043,-94936.8,-3925110
9/8/2003, ,0,2844479,-98199.5,-2746280
9/9/2003,435845, ,2019801,-102482,-2353160
9/10/2003,1237088, ,1393233,-101786,-2528530
9/11/2003,1637306, ,1007553,-95263.2,-2549600
9/12/2003,1852828, ,810649,-96913.3,-2566560
9/13/2003,1922632, ,742584,-100804,-2564410
9/14/2003,1846103, ,745768,-44692.3,-2547180
9/15/2003,10148, ,1607627,-39936.9,-1577840
9/16/2003, ,-1603780,1785651,628581,-810456
9/17/2003, ,-419482,1311835,-80034.5,-812319
9/18/2003, ,-192348,1097270,-92115.5,-812806
9/19/2003, ,-1132870,2110719,-90061.5,-887783
9/20/2003, ,-1223140,2997191,144421,-1918470
9/21/2003,56772.4, ,1946095,-97977.3,-1904890
9/22/2003,62486.3, ,1951474,-86637.2,-1927320
9/23/2003, ,-4489580,8423213,47771.8,-3981400
9/24/2003, ,0,10687371,816814,-11504200
9/25/2003, ,0,5414380,-78393.8,-5335990
9/26/2003, ,0,4164128,-9841.95,-4154290
9/27/2003, ,0,4776308,-80892.7,-4695420
9/28/2003, ,0,8891658,53798.8,-8945460
9/29/2003, ,0,9875222,187302,-10062500
9/30/2003, ,0,5569588,-10600.1,-5558990
10/1/2003, ,0,3687920,-57103.8,-3630820
10/2/2003, ,0,2796102,-54296.1,-2741810
10/3/2003, ,0,2191777,5453.87,-2197230
10/4/2003, ,0,3191034,-53332.8,-3137700
10/5/2003, ,0,3675471,282486,-3957960
10/6/2003, ,0,2879359,-53124.3,-2826230
10/7/2003, ,0,2295565,30721.6,-2326290
10/8/2003,66297.3, ,1833777,-32926.6,-1867150
10/9/2003,474891, ,1572732,-64431.1,-1983190
10/10/2003,670275, ,1366041,-76173.6,-1960140
10/11/2003,762263, ,1212557,-79081.6,-1895740
10/12/2003,929584, ,1058843,-74945.7,-1913480
10/13/2003,1037057, ,940124,-72279.4,-1904900
10/14/2003, ,-91222.4,2081028,-67239.8,-1922570
10/15/2003, ,-2057080,3304153,671725,-1918800
10/16/2003, ,-1711910,3489712,139759,-1917560
10/17/2003, ,-80159.6,2267262,-53175.5,-2133930
10/18/2003, ,0,2160888,-46420,-2114470
10/19/2003, ,0,2481284,-45169.8,-2436110
10/20/2003, ,0,2601122,115275,-2716400
10/21/2003, ,0,2371434,-43901.4,-2327530
10/22/2003, ,0,2071242,-34185.6,-2037060
10/23/2003,234045, ,1740180,-50952.3,-1923270
10/24/2003,487003, ,1428157,-25786.2,-1889370
10/25/2003,638547, ,1270658,-24267.5,-1884940
10/26/2003,100876, ,1830061,-27871.1,-1903070
10/27/2003, ,-1460470,8648106,198237,-7385870
10/28/2003, ,0,12668765,936644,-13605400
10/29/2003, ,0,13797463,15083.9,-13812500
10/30/2003, ,0,16738125,677447,-17415600
10/31/2003, ,0,7892967,-44921,-7848050
11/1/2003, ,0,5527438,-50088.2,-5477350
11/2/2003, ,0,4107674,-58755.8,-4048920
11/3/2003, ,0,3169076,1419.61,-3170500
11/4/2003, ,0,2206692,-47855.3,-2158840
11/5/2003,447344, ,2227638,-56673.5,-2618310
11/6/2003,757837, ,2071626,203703,-3033170
11/7/2003,1599470, ,1475060,-42244.6,-3032290
11/8/2003,150419, ,1242530,-43139.2,-1349810
11/9/2003,261925, ,1125752,-38042.5,-1349630
11/10/2003,1026917, ,1054569,-24781.3,-2056700
11/11/2003,1249119, ,1200918,-27533.6,-2422500
11/12/2003,1170023, ,1242697,26961.1,-2439680
11/13/2003,889122, ,1542992,39834.3,-2471950
11/14/2003,783684, ,1540398,146834,-2470920
11/15/2003,1194754, ,1285238,-28614.4,-2451380
11/16/2003,1208449, ,1248612,-22071.4,-2434990
11/17/2003,1202972, ,1259058,-24814.9,-2437220
11/18/2003,977687, ,1225649,4351.69,-2207690
11/19/2003, ,-6270710,7610636,-1865.59,-1338060
11/20/2003, ,-6649010,11328885,1082480,-5762350
11/21/2003, ,0,6524580,-19991.2,-6504590
11/22/2003, ,0,4830904,-34506.2,-4796400
11/23/2003, ,0,3961680,-38589.9,-3923090
11/24/2003, ,0,4525594,-39102,-4486490
11/25/2003, ,0,4523013,169063,-4692080
11/26/2003, ,0,2982337,-25748.6,-2956590
11/27/2003, ,0,2329668,-27118.4,-2302550
11/28/2003, ,0,4134792,-14037.6,-4120750
11/29/2003, ,0,6080374,519699,-6600070
11/30/2003, ,0,3821156,6244.18,-3827400
12/1/2003, ,0,3016588,-25583.1,-2991000
12/2/2003,446668, ,2584310,-8420.65,-3022560
12/3/2003,786466, ,2233185,-16482.1,-3003170
12/4/2003,1048781, ,1993040,-13196.6,-3028620
12/5/2003,1440022, ,1800728,-14969.1,-3225780
12/6/2003,1668994, ,1554244,-18001,-3205240
12/7/2003,1918140, ,1320570,-16541.7,-3222170
12/8/2003,2072868, ,1165243,-14541.9,-3223570
12/9/2003,2176753, ,1059111,-14702.8,-3221160
12/10/2003,2181228, ,1054993,-17588.2,-3218630
12/11/2003, ,-1111190,4324726,-16060.8,-3197470
12/12/2003, ,-2066700,4448615,816850,-3198760
12/13/2003,1460096, ,1784638,-24944.3,-3219790
12/14/2003,1443843, ,1788528,-17905.3,-3214470
12/15/2003,1447352, ,1762378,-15810.6,-3193920
12/16/2003,728492, ,1709489,-16742.9,-2421240
12/17/2003, ,-1231850,2585661,-18917,-1334900
12/18/2003, ,-1554260,2836388,54198.2,-1336330
12/19/2003, ,-429906,1788967,-20927.3,-1338130
12/20/2003, ,-184670,1540381,-17077.8,-1338630
12/21/2003, ,-6019.37,1361487,-16620,-1338850
12/22/2003,126446, ,1228182,-15773.8,-1338850
12/23/2003,233330, ,1124440,-19062.6,-1338710
12/24/2003, ,-5414750,6781378,-28187.9,-1338440
12/25/2003, ,-7180130,8270347,442365,-1532580
12/26/2003, ,0,2840101,-22581.3,-2817520
12/27/2003, ,0,2665014,18841.1,-2683860
12/28/2003, ,0,2447349,53301.4,-2500650
12/29/2003, ,0,2214738,50652,-2265390
12/30/2003, ,0,2414340,46805.7,-2461150
12/31/2003, ,0,2249444,145553,-2395000
1/1/2004,691749, ,1690745,52197.2,-2434690
1/2/2004,1502701, ,1510970,56709,-3070380
1/3/2004,327542, ,2794405,81436.4,-3203380
1/4/2004, ,-1782840,4770622,233852,-3221630
1/5/2004, ,-739149,4347042,408009,-4015900
1/6/2004,330338, ,2719362,156233,-3205930
1/7/2004,1128934, ,2117469,-22226.4,-3224180
1/8/2004,1276410, ,1960804,-14348.7,-3222870
1/9/2004,1411868, ,1821071,-11556.3,-3221380
1/10/2004,1534457, ,1691840,-10183.8,-3216110
1/11/2004,1688966, ,1531491,-6125.49,-3214330
1/12/2004,1874938, ,1345199,-7768.05,-3212370
1/13/2004,2039331, ,1181980,-11119.8,-3210190
1/14/2004,2162798, ,1063463,-18439.1,-3207820
1/15/2004,2236402, ,979943,-11035.6,-3205310
1/16/2004,2291338, ,918744,-7370.68,-3202710
1/17/2004,2313434, ,871833,-7715.58,-3177550
1/18/2004,2145295, ,834099,-10404.3,-2968990
1/19/2004,2379695, ,803063,-14257,-3168500
1/20/2004,2425688, ,778007,-15460.1,-3188240
1/21/2004,2047401, ,757609,-12471.3,-2792540
1/22/2004,2451187, ,739977,-11753.8,-3179410
1/23/2004,2355808, ,724210,-12077.4,-3067940
1/24/2004,2471778, ,710294,-12117,-3169960
1/25/2004,2477932, ,698070,-8918.75,-3167080
1/26/2004,2485142, ,687089,-8025.93,-3164200
1/27/2004,1934326, ,676916,-9969.03,-2601270
1/28/2004,1942610, ,667228,-10811.9,-2599030
1/29/2004,1952113, ,658077,-13420,-2596770
1/30/2004,1944048, ,649673,-14217.7,-2579500
1/31/2004,1964429, ,641920,-10476.8,-2595870
2/1/2004,1971878, ,634508,-12796.1,-2593590
2/2/2004,1979374, ,627303,-15377.4,-2591300
2/3/2004,1983929, ,620253,-15182.2,-2589000
2/4/2004,1990258, ,613420,-16983.2,-2586700
2/5/2004,1991209, ,606977,-17431.2,-2580750
2/6/2004,1544625, ,1048297,-14480.2,-2578440
2/7/2004,1585582, ,1007782,-16717.5,-2576650
2/8/2004,1873601, ,655915,45289.7,-2574810
2/9/2004,1939849, ,648496,-15716.5,-2572630
2/10/2004,1610240, ,973855,-13720.4,-2570380
2/11/2004,1482515, ,1025586,60403.9,-2568500
2/12/2004,1705058, ,717072,140781,-2562910
2/13/2004,1854187, ,724134,-17390,-2560930
2/14/2004,1801080, ,777088,-19390.6,-2558780
2/15/2004,1865387, ,709931,-18633.1,-2556680
2/16/2004,1869578, ,699959,-15019,-2554520
2/17/2004,1871226, ,690626,-9506.32,-2552350
2/18/2004,1882822, ,676109,-12387.6,-2546540
2/19/2004,1899567, ,659549,-14759.6,-2544360
2/20/2004,1916203, ,644563,-18616,-2542150
2/21/2004,985586, ,1437420,116917,-2539920
2/22/2004,753666, ,1565359,219753,-2538780
2/23/2004,1428379, ,813294,296230,-2537900
2/24/2004,1776844, ,783555,-24155,-2536240
2/25/2004,1773318, ,781738,-20875.9,-2534180
2/26/2004,1770136, ,778030,-16046.7,-2532120
2/27/2004,1771468, ,772053,-17328.7,-2526190
2/28/2004,1638493, ,906480,-20839.3,-2524130
3/1/2004,30943.8, ,2454832,32826.3,-2518600
3/2/2004, ,-3294110,5558882,253792,-2518570
3/3/2004, ,-7118840,9280224,361004,-2522390
3/4/2004, ,-12054900,14530519,-42249.9,-2433410
3/5/2004, ,-17947500,19433434,62994.2,-1548920
3/6/2004, ,-18149200,18992034,12107.9,-854900
3/7/2004, ,-15546000,16295412,130424,-879854
3/8/2004, ,-7775790,8512155,30429.3,-766793
3/9/2004, ,-5417100,6154200,38726.1,-775826
3/10/2004, ,-3167950,3976278,-26206.1,-782119
3/11/2004, ,-2241990,3057972,-30186.8,-785799
3/12/2004, ,-1571540,2397466,-37520,-788403
3/13/2004, ,-777019,1596856,-29608.3,-790229
3/14/2004, ,-406855,1224578,-26591.2,-791132
3/15/2004, ,-231712,1048948,-25632.2,-791604
3/16/2004,409834, ,1013144,-32111.2,-1390870
3/17/2004,883965, ,883556,116871,-1884390
3/18/2004,1099496, ,826668,-27800.6,-1898360
3/19/2004,1164784, ,790756,-28455,-1927080
3/20/2004,924755, ,1007540,-29061.6,-1903230
3/21/2004,875069, ,985284,-29318.8,-1831030
3/22/2004,1008988, ,812774,86879.4,-1908640
3/23/2004,1188971, ,757928,-28300.6,-1918600
3/24/2004, ,-686208,2567405,-23733.9,-1857460
3/25/2004, ,-1360800,3675946,100740,-2415890
3/26/2004, ,-941655,3291511,86237.9,-2436090
3/27/2004,448225, ,2025213,-39878.8,-2433560
3/28/2004,659641, ,1802635,-29237.7,-2433040
3/29/2004,1031248, ,1513254,-78603,-2465900
3/30/2004,1108464, ,1425635,-69398.5,-2464700
3/31/2004,641981, ,1886263,-64830.3,-2463410
4/1/2004, ,-1826620,3815410,-8990.01,-1979800
4/2/2004, ,-2813990,4518345,202813,-1907160
4/3/2004, ,-112594,2047537,-54508.4,-1880430
4/4/2004, ,-28195.1,1815702,-45561,-1741950
4/5/2004,330935, ,1496772,-25732.8,-1801970
4/6/2004, ,-498003,1328667,-43445.4,-787219
4/7/2004, ,-345646,1243349,-46280.4,-851423
4/8/2004,1042616, ,1160637,-60059.6,-2143190
4/9/2004,1438575, ,1031096,-61818.7,-2407850
4/10/2004,1628850, ,911777,-63564.1,-2477060
4/11/2004,1707810, ,829473,-62111.7,-2475170
4/12/2004,962419, ,1557958,-65817.6,-2454560
4/13/2004, ,-1232140,3420007,284200,-2472070
4/14/2004, ,-3314580,3742939,353397,-781754
4/15/2004, ,-1415050,2263914,-63257.8,-785605
4/16/2004, ,-181872,2122756,-68140.7,-1872740
4/17/2004,8904.67, ,1900885,-70461.4,-1839330
4/18/2004, ,-140866,2135494,-88056.9,-1906570
4/19/2004, ,-351469,2265754,-7549.46,-1906740
4/20/2004,323968, ,1663804,-80628.1,-1907140
4/21/2004,754040, ,1261561,-108834,-1906770
4/22/2004,843609, ,1129179,-78025.3,-1894760
4/23/2004,982443, ,1519554,-35590.2,-2466410
4/24/2004,835968, ,1516225,120573,-2472770
4/25/2004,602393, ,1959080,-82179.1,-2479290
4/26/2004, ,-1575010,3874863,182369,-2482220
4/27/2004, ,-2696030,4137130,316954,-1758050
4/28/2004, ,-1740760,2604626,-75932.6,-787938
4/29/2004, ,-1469760,2333486,-73770.5,-789961
4/30/2004,548431, ,2008651,-88423.9,-2468660
5/1/2004,1005340, ,1645629,-114243,-2536730
5/2/2004, ,-562181,3229229,-127619,-2539430
5/3/2004, ,-1453170,3674832,322050,-2543710
5/4/2004,113681, ,2496486,-64768.6,-2545400
5/5/2004,335605, ,2288283,-74751,-2549140
5/6/2004,246983, ,2248175,53589.2,-2548750
5/7/2004,882241, ,1728184,-61964.8,-2548460
5/8/2004,1112395, ,1486027,-50986.6,-2547440
5/9/2004,1195442, ,1437092,-82762,-2549770
5/10/2004,794766, ,1781483,-27865.6,-2548380
5/11/2004,674612, ,1676397,192822,-2543830
5/12/2004,897262, ,1734656,-88870.5,-2543050
5/13/2004,1006470, ,1505143,15393.3,-2527010
5/14/2004,1195009, ,1301719,44107.5,-2540840
5/15/2004,1223769, ,1453511,-134203,-2543080
5/16/2004,1157465, ,1344277,39912.3,-2541660
5/17/2004,1727494, ,1068259,-120693,-2675060
5/18/2004,1433226, ,1394093,-113139,-2714180
5/19/2004,1423090, ,1309973,-20548.4,-2712510
5/20/2004,1452730, ,1370048,-119416,-2703360
5/21/2004,1437355, ,1260185,15503.8,-2713040
5/22/2004,1679562, ,1156390,-124577,-2711370
5/23/2004,1488961, ,1350845,-130382,-2709420
5/24/2004,406209, ,2211290,-63424.3,-2554070
5/25/2004, ,-332579,2894421,-37995.6,-2523850
5/26/2004, ,-2391660,5009118,-112091,-2505360
5/27/2004, ,-4968390,7182353,309178,-2523140
5/28/2004, ,-2313820,4807469,35261.2,-2528910
5/29/2004, ,-1294280,3912230,-89983,-2527970
5/30/2004, ,-249741,2875978,-111761,-2514480
5/31/2004, ,-476917,3106977,-96666.2,-2533390
6/1/2004, ,-1666070,4133378,111395,-2578700
6/2/2004, ,-2194300,4743509,31427.9,-2580640
6/3/2004, ,-990757,3409744,164200,-2583190
6/4/2004,455442, ,2219905,-109878,-2565470
6/5/2004,837512, ,1856780,-110483,-2583810
6/6/2004,877123, ,1711437,-5722.89,-2582840
6/7/2004,1224475, ,1413090,-55747.8,-2581820
6/8/2004,1576649, ,1121698,-121823,-2576520
6/9/2004,1606587, ,1114062,-145956,-2574690
6/10/2004,1211361, ,994870,-33782.6,-2172450
6/11/2004,1495520, ,836021,-153000,-2178540
6/12/2004,1541560, ,751718,-116474,-2176800
6/13/2004,1590188, ,700976,-112522,-2178640
6/14/2004,1628761, ,680695,-117662,-2191790
6/15/2004,1702153, ,649603,-135727,-2216030
6/16/2004,1748675, ,621696,-148820,-2221550
6/17/2004,1260911, ,1100654,-149544,-2212020
6/18/2004,873184, ,1089580,225293,-2188060
6/19/2004,1440462, ,852528,-105947,-2187040
6/20/2004,1600661, ,741780,-145701,-2196740
6/21/2004,1583558, ,722396,-111074,-2194880
6/22/2004,1529500, ,784008,-116838,-2196670
6/23/2004,1512198, ,749022,-66327.6,-2194890
6/24/2004,1951493, ,691172,-135033,-2507630
6/25/2004,1775073, ,925468,-135422,-2565120
6/26/2004,1146538, ,1332116,84402.3,-2563060
6/27/2004,1261088, ,1223074,81433.1,-2565600
6/28/2004,1405392, ,1256260,-116150,-2545500
6/29/2004,1242086, ,1343546,-23133.2,-2562500
6/30/2004,1617196, ,1039234,-110374,-2546060
7/1/2004,1702954, ,991107,-131255,-2562810
7/2/2004,1686411, ,998989,-124573,-2560830
7/3/2004,1872276, ,826828,-140236,-2558870
7/4/2004,1931826, ,740620,-134381,-2538070
7/5/2004,1571380, ,1114871,-139302,-2546950
7/6/2004,1362365, ,1076134,106624,-2545120
7/7/2004,889308, ,1204827,-119348,-1974790
7/8/2004,558555, ,1317540,86289.4,-1962380
7/9/2004,972029, ,1103107,-102031,-1973110
7/10/2004,1210827, ,879553,-118404,-1971980
7/11/2004,1282900, ,801663,-113994,-1970570
7/12/2004,1133792, ,964563,-121777,-1976580
7/13/2004,843471, ,987505,147915,-1978890
7/14/2004, ,-929831,3003256,-95514.4,-1977910
7/15/2004, ,-3028700,4651916,348274,-1971490
7/16/2004, ,-1373210,3338276,17444.8,-1982510
7/17/2004, ,-1200860,3188236,-18270.2,-1969110
7/18/2004, ,-1656800,3743408,-101109,-1985500
7/19/2004, ,-1715810,3723025,-19794.5,-1987420
7/20/2004, ,-1380520,3245628,113184,-1978290
7/21/2004, ,-169322,2278096,-121382,-1987390
7/22/2004,394547, ,1743906,-139736,-1998720
7/23/2004, ,-1890780,3127630,-140712,-1096140
7/24/2004, ,-3677440,4327030,209247,-858835
7/25/2004, ,-1237440,2234179,-133636,-863107
7/26/2004, ,-881037,1867784,-122203,-864544
7/27/2004, ,-7437580,8186604,116546,-865568
7/28/2004, ,-10701300,10542132,1033420,-874208
7/29/2004, ,-5400940,6296155,-8577.12,-886640
7/30/2004, ,-2899740,3930225,-137568,-892914
7/31/2004, ,-2392430,3381944,-93236.2,-896282
8/1/2004, ,-2267270,3136735,29597.2,-899062
8/2/2004, ,-1300050,2280121,-78375.5,-901695
8/3/2004, ,-290927,1658124,-134496,-1232700
8/4/2004, ,-573272,1943576,-144765,-1225540
8/5/2004, ,-117037,1744636,197358,-1824960
8/6/2004,860024, ,1267127,-118683,-2008470
8/7/2004,58500.2, ,1071630,-107034,-1023100
8/8/2004,50133.3, ,957961,-104816,-903278
8/9/2004,627976, ,825804,-112685,-1341100
8/10/2004,1914512, ,791305,-122708,-2583110
8/11/2004,1222604, ,830397,-14742.7,-2038260
8/12/2004, ,-2663590,4302435,-77384.7,-1561470
8/13/2004, ,-7786530,7951027,737445,-901941
8/14/2004, ,-5703400,6818435,288094,-1403130
8/15/2004, ,0,5877294,-123994,-5753300
8/16/2004, ,0,6257849,370329,-6628180
8/17/2004, ,0,4838815,-76079,-4762740
8/18/2004, ,0,3285526,-116220,-3169310
8/19/2004, ,0,2518507,-121933,-2396570
8/20/2004, ,0,2456882,-119100,-2337780
8/21/2004, ,0,3394932,18375.4,-3413310
8/22/2004, ,0,3153678,143375,-3297050
8/23/2004, ,0,1914167,-101857,-1812310
8/24/2004,25212.7, ,1458972,-72572.4,-1411610
8/25/2004,373127, ,1158345,-119889,-1411580
8/26/2004,539153, ,994238,-118371,-1415020
8/27/2004,144698, ,889737,-114283,-920151
8/28/2004,127712, ,901418,-112776,-916354
8/29/2004,82148.9, ,847503,-13445.6,-916206
8/30/2004,177315, ,1662977,-119313,-1720980
8/31/2004, ,-423204,2198262,244969,-2020030
9/1/2004,316267, ,1607738,-122182,-1801820
9/2/2004,247830, ,1231925,-108916,-1370840
9/3/2004,379173, ,1157579,-106205,-1430550
9/4/2004,355893, ,1093206,-108745,-1340350
9/5/2004,454835, ,1025106,-113873,-1366070
9/6/2004,555783, ,931904,-118519,-1369170
9/7/2004,664119, ,834863,-104090,-1394890
9/8/2004, ,-1702320,2701854,-110780,-888750
9/9/2004, ,-2317740,5860408,713965,-4256630
9/10/2004, ,0,6280958,326499,-6607460
9/11/2004, ,0,3306471,-111621,-3194850
9/12/2004, ,0,2827376,-101260,-2726120
9/13/2004, ,0,2382810,-99860.1,-2282950
9/14/2004, ,0,1993335,-104402,-1888930
9/15/2004,149498, ,1682426,-97832.4,-1734090
9/16/2004,459284, ,1352137,-96130.8,-1715290
9/17/2004, ,-608782,8507223,-98898.1,-7799540
9/18/2004, ,0,27492586,1389750,-28882300
9/19/2004, ,0,25266170,1235690,-26501900
9/20/2004, ,0,8928204,-73446.1,-8854760
9/21/2004, ,0,6093846,-73164.6,-6020680
9/22/2004, ,0,4254094,-83222.3,-4170870
9/23/2004, ,0,3077974,-89148.5,-2988830
9/24/2004, ,0,2328700,-93304.4,-2235400
9/25/2004, ,0,1748757,-99474.5,-1649280
9/26/2004, ,0,1281877,-76385.2,-1205490
9/27/2004,720436, ,985345,-91440.2,-1614340
9/28/2004, ,-720436,4716888,-72826.4,-3923630
9/29/2004, ,0,6913132,857815,-7770950
9/30/2004, ,0,4226425,-65682.7,-4160740
10/1/2004, ,0,4566700,15833.5,-4582530
10/2/2004, ,0,4086256,-75087.1,-4011170
10/3/2004, ,0,3949641,-8720.82,-3940920
10/4/2004, ,0,3052514,-68471.9,-2984040
10/5/2004, ,0,2556738,-67850.8,-2488890
10/6/2004, ,0,1972742,-59412.6,-1913330
10/7/2004,362715, ,1489847,-56539.1,-1796020
10/8/2004,1480267, ,1195740,-64409.8,-2611600
10/9/2004,1683538, ,1012087,-74618.4,-2621010
10/10/2004,740554, ,897730,-74730.9,-1563550
10/11/2004,35082.6, ,826849,-70237.4,-791695
10/12/2004,65185.7, ,781841,-55372.9,-791654
10/13/2004,94265, ,751048,-53734.6,-791578
10/14/2004,1083667, ,746859,-58313.7,-1772210
10/15/2004,1507075, ,1124385,-48380.8,-2583080
10/16/2004,813949, ,1350632,420618,-2585200
10/17/2004,1353663, ,1082469,9501.59,-2445630
10/18/2004, ,-759336,1593628,-48350.8,-785941
10/19/2004, ,-3456510,4130585,112745,-786823
10/20/2004, ,-4455480,4822596,423727,-790838
10/21/2004, ,-548634,4391696,-24730.8,-3818330
10/22/2004, ,0,4691367,79659,-4771030
10/23/2004, ,0,3491214,-47776.6,-3443440
10/24/2004, ,0,2842170,-45562,-2796610
10/25/2004, ,0,2333961,-45907,-2288050
10/26/2004, ,0,1910963,-46533.8,-1864430
10/27/2004, ,0,1518640,-48601.5,-1470040
10/28/2004,765425, ,1229851,-49504.6,-1945770
10/29/2004,1652270, ,1053728,-46241.8,-2659760
10/30/2004,1731305, ,963883,-40979.7,-2654210
10/31/2004,1737594, ,890559,27672.3,-2655830
11/1/2004,560495, ,846459,-60724.6,-1346230
11/2/2004,534507, ,866979,-55908.4,-1345580
11/3/2004,462432, ,869890,12636.2,-1344960
11/4/2004,1347281, ,1206049,-33662.4,-2519670
11/5/2004,1489853, ,1591638,117858,-3199350
11/6/2004,1634127, ,1485852,77639.5,-3197620
11/7/2004,1311680, ,1276119,6749.7,-2594550
11/8/2004,1365700, ,1308436,-43854.9,-2630280
11/9/2004,1351712, ,1318897,-34415.3,-2636190
11/10/2004,1276345, ,1266818,-28289.8,-2514870
11/11/2004,1395159, ,1246218,-26864.1,-2614510
11/12/2004,1404790, ,1261273,-34542.6,-2631520
11/13/2004,1403010, ,1160964,65913.7,-2629890
11/14/2004,1621539, ,1032728,-26009.2,-2628260
11/15/2004,1581812, ,982177,-27366.7,-2536620
11/16/2004,1636564, ,897349,-32755.3,-2501160
11/17/2004,1687735, ,847091,-35569.6,-2499260
11/18/2004,1613764, ,852437,-32530.9,-2433670
11/19/2004,1583767, ,892074,-32915.8,-2442920
11/20/2004,1209326, ,1270656,-38897.3,-2441080
