Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Cannonsville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Cannonsville Reservoir","Increase in Storage for Cannonsville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
7/20/2003,2385526, ,1265243,-99549.9,-3551220
7/21/2003, ,-1472380,4403780,-106624,-2824770
7/22/2003, ,-4220990,5809510,314883,-1903410
7/23/2003, ,-1922170,5453680,164637,-3696150
7/24/2003, ,-145447,3771599,3662.16,-3629810
7/25/2003,548427, ,2479842,-97180.1,-2931090
7/26/2003,1120140, ,1760596,-113249,-2767490
7/27/2003,1900216, ,1607243,-115941,-3391520
7/28/2003,1609673, ,1208820,-26479.4,-2792010
7/29/2003,2314650, ,941567,-115259,-3140960
7/30/2003,2890264, ,765562,-104607,-3551220
7/31/2003,2798729, ,691670,-111145,-3379250
8/1/2003, ,-4471970,7305476,-99464.7,-2734040
8/2/2003, ,-1626030,4205250,390187,-2969410
8/3/2003,900934, ,2682308,-111456,-3471790
8/4/2003, ,-2397010,4826034,-75464.7,-2353560
8/5/2003, ,-4153230,5620998,158278,-1626050
8/6/2003, ,-1548910,3881432,46353.7,-2378880
8/7/2003,169497, ,2660740,-45593.8,-2784640
8/8/2003, ,-116337,2699630,-91572.6,-2491720
8/9/2003,512339, ,2927422,-87974.3,-3351790
8/10/2003,563500, ,2629288,14736,-3207520
8/11/2003, ,-970651,4043329,-68188.4,-3004490
8/12/2003, ,-947821,3115131,115622,-2282930
8/13/2003,777576, ,1782082,-87447.6,-2472210
8/14/2003,1009848, ,1275204,-123046,-2162010
8/15/2003,2018919, ,1037640,-116199,-2940360
8/16/2003,2040398, ,1072648,-106160,-3006890
8/17/2003,893918, ,1067990,-56592.1,-1905320
8/18/2003,2343509, ,892890,-102950,-3133450
8/19/2003,2586894, ,757033,-94730.7,-3249200
8/20/2003,2028769, ,668884,-109417,-2588240
8/21/2003,2730105, ,622758,-108720,-3244140
8/22/2003,2358700, ,631341,-112154,-2877890
8/23/2003,3273337, ,604304,-93390.2,-3784250
8/24/2003,2024559, ,570393,-100843,-2494110
8/25/2003,2544543, ,557057,-83516.3,-3018080
8/26/2003,3369252, ,555231,-99261.7,-3825220
8/27/2003,3892623, ,553822,-104775,-4341670
8/28/2003,3376450, ,533612,-108511,-3801550
8/29/2003,2105998, ,1402795,-95205.9,-3413590
8/30/2003,2125766, ,977423,201815,-3305000
8/31/2003,2849746, ,608684,-89405.2,-3369020
9/1/2003, ,-865561,4971976,-81280.5,-4025130
9/2/2003, ,-20027400,22204520,584661,-2761790
9/3/2003, ,-13353800,15545539,776081,-2967840
9/4/2003, ,-13065700,15715616,166748,-2816640
9/5/2003, ,-196352,9931855,339574,-10075100
9/6/2003, ,-131579,5705092,-77008.4,-5496500
9/7/2003, ,-131579,3831054,-79330.3,-3620140
9/8/2003, ,-131579,2686912,-84555,-2470780
9/9/2003,192954, ,1866776,-85489.9,-1974240
9/10/2003,669758, ,1284078,-87595.4,-1866240
9/11/2003,2523093, ,958976,-82228.9,-3399840
9/12/2003,2239992, ,788412,-82164.4,-2946240
9/13/2003,1355050, ,743945,-81554.2,-2017440
9/14/2003,2134190, ,749852,-45802.8,-2838240
9/15/2003, ,-422636,3910026,-87549.8,-3399840
9/16/2003, ,-171722,1763001,541937,-2133220
9/17/2003,1571224, ,1240335,-51942.4,-2759620
9/18/2003,603302, ,1154999,-78685,-1679620
9/19/2003,91344.9, ,2442244,-76372.5,-2457220
9/20/2003,520677, ,2048287,82652.3,-2651620
9/21/2003,815759, ,1522623,-75565.9,-2262820
9/22/2003,750819, ,1713147,-71550.1,-2392420
9/23/2003, ,-8618420,11448490,15946.8,-2846020
9/24/2003, ,-4998020,7259418,606215,-2867620
9/25/2003, ,-1402910,4575902,-67779.1,-3105220
9/26/2003, ,-222881,3432244,-31242.9,-3178120
9/27/2003, ,-131579,4433790,-65797.1,-4236410
9/28/2003, ,-131579,7337562,10468.3,-7216450
9/29/2003, ,-131579,7765291,73852.4,-7707560
9/30/2003, ,-131579,4628110,-3855.58,-4492670
10/1/2003, ,-131579,3236266,-37007.7,-3067680
10/2/2003,232048, ,2748317,-39759.4,-2940610
10/3/2003,1689476, ,2055827,-2303.86,-3743000
10/4/2003, ,-583554,4463807,-43747.7,-3836510
10/5/2003,399050, ,3489484,195048,-4083580
10/6/2003,180054, ,2989440,-41467.9,-3128030
10/7/2003, ,-879247,2333093,-41813.4,-1412030
10/8/2003,209652, ,1855693,-48378.9,-2016970
10/9/2003,797817, ,1566666,-59469.5,-2305010
10/10/2003,614757, ,1351913,-66482.9,-1900190
10/11/2003,995982, ,1192822,-67042.7,-2121760
10/12/2003,915471, ,1035974,-62685,-1888760
10/13/2003,1038622, ,917656,-59156.5,-1897120
10/14/2003, ,-1701090,3336259,-55501.7,-1579670
10/15/2003, ,-3894970,5076307,473026,-1654360
10/16/2003, ,-1712250,3446318,203744,-1937810
10/17/2003, ,-407086,2284908,-42346.3,-1835480
10/18/2003,943.982, ,2213524,-37801.5,-2176670
10/19/2003, ,-264102,3336784,-37983.2,-3034700
10/20/2003, ,-131579,2816406,125136,-2809960
10/21/2003, ,-131579,2573379,-39294.5,-2402510
10/22/2003, ,-131579,2207887,-29271.1,-2047040
10/23/2003,105221, ,1820291,-45531.1,-1879980
10/24/2003,271343, ,1512134,-19857.4,-1763620
10/25/2003,363640, ,1319540,-20175.5,-1663000
10/26/2003, ,-868724,2272344,-27407.5,-1376210
10/27/2003, ,-529375,13879920,142345,-13492900
10/28/2003, ,-131579,9408615,734313,-10011300
10/29/2003, ,-131579,17059510,-7441.9,-16920500
10/30/2003, ,-131579,12602018,474331,-12944800
10/31/2003, ,-131579,6702793,-37508.4,-6533710
11/1/2003, ,-131579,5034712,-44597.5,-4858540
11/2/2003, ,-131579,4116328,-49749.1,-3935000
11/3/2003, ,-131579,3165025,-21050,-3012400
11/4/2003, ,-25782.9,2237486,-52566.8,-2159140
11/5/2003, ,-237375,2798724,-52133.1,-2509220
11/6/2003, ,-79983.3,2112641,146062,-2178720
11/7/2003,776672, ,1528790,-31414.2,-2274050
11/8/2003,1006163, ,1295761,-35652.6,-2266270
11/9/2003,1186483, ,1169178,-29773.6,-2325890
11/10/2003,1191212, ,1085115,-20423.1,-2255900
11/11/2003,810483, ,1414101,-24264.6,-2200320
11/12/2003,392377, ,1430484,11699.1,-1834560
11/13/2003, ,-381920,2421632,44255.2,-2083970
11/14/2003, ,-28839.4,1740893,131146,-1843200
11/15/2003,395228, ,1449826,-20286.3,-1824770
11/16/2003,542013, ,1426717,-16089.8,-1952640
11/17/2003,521040, ,1512272,-17312.2,-2016000
11/18/2003,193594, ,1554742,-12272.1,-1736060
11/19/2003, ,-8366630,14866697,-19250.5,-6480820
11/20/2003, ,-131579,9987369,773222,-10629000
11/21/2003, ,-131579,5817920,-19434.3,-5666910
11/22/2003, ,-131579,4486043,-30139.7,-4324320
11/23/2003, ,-131579,3694009,-32768.6,-3529660
11/24/2003, ,-131579,5968859,-31690.7,-5805590
11/25/2003, ,-131579,3801575,137203,-3807200
11/26/2003, ,-131579,2939485,-18105.1,-2789800
11/27/2003, ,-131579,2333672,-23123.1,-2178970
11/28/2003, ,-131579,5534579,-15264.7,-5387740
11/29/2003, ,-131579,4627398,326259,-4822080
11/30/2003, ,-131579,3237121,18733.6,-3124280
12/1/2003, ,-131579,2708903,-25730.8,-2551590
12/2/2003, ,-131579,2335084,-1976.83,-2201530
12/3/2003, ,-131579,2055468,-15456.9,-1908430
12/4/2003, ,-131579,1864108,-10843.2,-1721690
12/5/2003, ,-131579,1706941,-12929.3,-1562430
12/6/2003, ,-23470.6,1490495,-15504.6,-1451520
12/7/2003,163920, ,1301014,-13414.1,-1451520
12/8/2003,297100, ,1166232,-11812.3,-1451520
12/9/2003,395814, ,1067448,-11741.9,-1451520
12/10/2003,380831, ,1084912,-14223.2,-1451520
12/11/2003, ,-2003670,7956276,-4747.03,-5947860
12/12/2003, ,-131579,2480421,715460,-3064300
12/13/2003, ,-131579,1794834,-17996,-1645260
12/14/2003, ,-131579,1799483,-14456.3,-1653450
12/15/2003, ,-131579,1774573,-13197.9,-1629800
12/16/2003, ,-131579,1723494,-14312.6,-1577600
12/17/2003, ,-131579,3118360,-16522.4,-2970260
12/18/2003, ,-131579,2678032,45811.3,-2592260
12/19/2003, ,-131579,1727677,-16604.8,-1579490
12/20/2003, ,-36222.7,1502428,-14685.7,-1451520
12/21/2003,129467, ,1336189,-14135.9,-1451520
12/22/2003,255368, ,1209114,-12961.2,-1451520
12/23/2003,360831, ,1107625,-16936.1,-1451520
12/24/2003, ,-1367340,7196331,-25611.6,-5803380
12/25/2003, ,-131579,3980331,215958,-4064710
12/26/2003, ,-131579,2221676,-23109.9,-2066990
12/27/2003, ,-131579,2178446,13541.2,-2060410
12/28/2003, ,-131579,2073857,39970.8,-1982250
12/29/2003, ,-131579,1955045,40035.4,-1863500
12/30/2003, ,-131579,2927659,42030.7,-2838110
12/31/2003, ,-131579,2141377,125681,-2135480
1/1/2004, ,-131579,1802575,42486.3,-1713480
1/2/2004, ,-131579,1801756,46010.5,-1716190
1/3/2004, ,-131579,4552592,62597.1,-4483610
1/4/2004, ,-131579,6528272,235863,-6632560
1/5/2004, ,-131579,4202284,339484,-4410190
1/6/2004, ,-131579,2651966,101982,-2622370
1/7/2004, ,-131579,2319942,-18231.1,-2170130
1/8/2004, ,-131579,2131314,-11244.5,-1988490
1/9/2004, ,-131579,1966737,-9909.25,-1825250
1/10/2004, ,-131579,1818413,-7132.02,-1679700
1/11/2004, ,-131579,1635621,-5085.08,-1498960
1/12/2004,36120.4, ,1423097,-7697.03,-1451520
1/13/2004,221602, ,1240997,-11079,-1451520
1/14/2004,352067, ,1111771,-12318.2,-1451520
1/15/2004,1453119, ,1020233,-7461.54,-2465890
1/16/2004,1610039, ,952206,-6602.58,-2555640
1/17/2004,1660337, ,899057,-7380.06,-2552010
1/18/2004,1661032, ,855471,-9485.44,-2507020
1/19/2004,1736832, ,819603,-11920,-2544510
1/20/2004,1777530, ,790718,-12605,-2555640
1/21/2004,1597469, ,766747,-10575.9,-2353640
1/22/2004,1823876, ,745584,-9945.69,-2559510
1/23/2004,1528373, ,726628,-9983.43,-2245020
1/24/2004,1858890, ,709926,-9302.9,-2559510
1/25/2004,1871943, ,695112,-7541.46,-2559510
1/26/2004,1884248, ,681679,-6414.1,-2559510
1/27/2004,653622, ,669077,-9073.04,-1313630
1/28/2004,666893, ,657056,-10323.4,-1313630
1/29/2004,679849, ,645790,-12013.9,-1313630
1/30/2004,678010, ,635504,-11258.2,-1302260
1/31/2004,695807, ,625873,-8054.72,-1313630
2/1/2004,708362, ,616596,-11332.2,-1313630
2/2/2004,719952, ,607615,-13941.7,-1313630
2/3/2004,617496, ,713175,-17044.9,-1313630
2/4/2004,736262, ,594710,-17346.9,-1313630
2/5/2004,744247, ,586775,-17396.3,-1313630
2/6/2004, ,-369318,1373444,-12496.8,-991630
2/7/2004,39545.3, ,913611,-17652.1,-935505
2/8/2004,272541, ,618957,44006.9,-935505
2/9/2004,335757, ,618042,-14423.3,-939375
2/10/2004, ,-283212,1232762,-14045,-935505
2/11/2004, ,-166134,1043637,58002.5,-935505
2/12/2004,164566, ,675566,99243.9,-939375
2/13/2004,646668, ,679759,-16672.1,-1309750
2/14/2004,567426, ,673016,69312.2,-1309750
2/15/2004,665284, ,662825,-18354,-1309750
2/16/2004,669236, ,653951,-13432.5,-1309750
2/17/2004,673079, ,645499,-8822.49,-1309750
2/18/2004,690041, ,631813,-12098.9,-1309750
2/19/2004,708880, ,615090,-14215.4,-1309750
2/20/2004,579686, ,748612,-18542.6,-1309750
2/21/2004, ,-1128100,2324060,110170,-1306130
2/22/2004, ,-837735,1920708,223153,-1306130
2/23/2004,185060, ,828663,292404,-1306130
2/24/2004,489021, ,840119,-23014.1,-1306130
2/25/2004,483005, ,842954,-19832.8,-1306130
2/26/2004,112575, ,838045,-15115.6,-935505
2/27/2004,126782, ,825802,-17079.3,-935505
2/28/2004,152136, ,802658,-19289.2,-935505
3/1/2004, ,-1836040,2774448,-2907.58,-935505
3/2/2004, ,-5345900,6037046,244356,-935505
3/3/2004, ,-9839570,10431683,343391,-935505
3/4/2004, ,-15405100,16390811,-46330.5,-939375
3/5/2004, ,-7297840,21477860,60136.8,-14240200
3/6/2004, ,-131579,27265628,25927.9,-27160000
3/7/2004, ,-131579,16947774,63130.1,-16879300
3/8/2004, ,-131579,10546721,-6523.29,-10408600
3/9/2004, ,-131579,6835546,-10618.4,-6693350
3/10/2004, ,-131579,4651786,-25954.6,-4494250
3/11/2004, ,-131579,3380014,-24377.1,-3224060
3/12/2004, ,-131579,2423184,-28322.4,-2263280
3/13/2004, ,-131579,1727740,-22959.4,-1573200
3/14/2004, ,-131579,1336611,-21889,-1183140
3/15/2004, ,-131579,1173117,-21979.2,-1019560
3/16/2004, ,-131579,1111920,-22157.3,-958184
3/17/2004, ,-131579,952900,77251.1,-898572
3/18/2004, ,-131579,895471,-22911.9,-740980
3/19/2004, ,-131579,853128,-20780.2,-700769
3/20/2004, ,-131579,1333317,-24555.2,-1177180
3/21/2004, ,-131579,1063423,14291.4,-946136
3/22/2004, ,-131579,837508,65386,-771315
3/23/2004, ,-131579,816116,-21458,-663079
3/24/2004, ,-131579,4446942,-21653.1,-4293710
3/25/2004, ,-131579,3789498,252065,-3909980
3/26/2004, ,-131579,2722444,-16559.5,-2574300
3/27/2004, ,-131579,2402639,-24595,-2246470
3/28/2004, ,-131579,1821775,-15035.2,-1675160
3/29/2004, ,-131579,1576685,-71284,-1373820
3/30/2004, ,-131579,1467354,-58346.7,-1277430
3/31/2004, ,-131579,1821494,-53823.9,-1636090
4/1/2004, ,-131579,3938028,-39601.3,-3766850
4/2/2004, ,-131579,2404535,125918,-2398870
4/3/2004, ,-131579,1798627,-43924.7,-1623120
4/4/2004, ,-131579,1527756,-38129.6,-1358050
4/5/2004, ,-131579,1268794,-23491.9,-1113720
4/6/2004, ,-131579,1153502,-26064,-995859
4/7/2004, ,-131579,1097874,-29858.4,-936437
4/8/2004, ,-131579,1010143,-42318.1,-836246
4/9/2004, ,-131579,919078,-52530.2,-734969
4/10/2004, ,-131579,837532,-53351.1,-652602
4/11/2004, ,-131579,776119,-51342.3,-593198
4/12/2004, ,-131579,1944985,-53558.6,-1759850
4/13/2004, ,-131579,5436920,214382,-5519720
4/14/2004, ,-131579,3171324,441273,-3481020
4/15/2004, ,-131579,2124228,-50198.7,-1942450
4/16/2004, ,-131579,2047602,-56627.5,-1859400
4/17/2004, ,-131579,1899295,-59712.8,-1708000
4/18/2004, ,-131579,3122712,-77920.2,-2913210
4/19/2004, ,-131579,2449152,-21142.8,-2296430
4/20/2004, ,-131579,1842481,-70529.5,-1640370
4/21/2004, ,-131579,1466094,-79387.2,-1255130
4/22/2004, ,-131579,1263961,-52387.5,-1079990
4/23/2004, ,-131579,1869166,-54568.6,-1683020
4/24/2004, ,-131579,1391364,77578.1,-1337360
4/25/2004, ,-131579,2961995,-68820.3,-2761600
4/26/2004, ,-131579,4835786,168387,-4872590
4/27/2004, ,-131579,3378814,114811,-3362050
4/28/2004, ,-131579,2207327,-60873.6,-2014870
4/29/2004, ,-131579,1987333,-60205.2,-1795550
4/30/2004, ,-131579,1723738,-83549.1,-1508610
5/1/2004, ,-131579,1428750,-96820.1,-1200350
5/2/2004, ,-131579,4458909,-106689,-4220640
5/3/2004, ,-131579,3389514,305766,-3563700
5/4/2004, ,-131579,2143003,-80874.4,-1930550
5/5/2004, ,-131579,2525438,-62932.3,-2330930
5/6/2004, ,-131579,2205990,51258,-2125670
5/7/2004, ,-131579,1693635,-35412.5,-1526640
5/8/2004, ,-131579,1495464,-60169.3,-1303720
5/9/2004, ,-131579,1504867,-54131.6,-1319160
5/10/2004, ,-131579,2325453,-31017,-2162860
5/11/2004, ,-131579,1867842,203440,-1939700
5/12/2004, ,-131579,1984068,-25244.9,-1827240
5/13/2004, ,-131579,2163860,-59837.8,-1972440
5/14/2004, ,-131579,1340656,99057.8,-1308130
5/15/2004, ,-131579,2094472,-119521,-1843370
5/16/2004, ,-131579,1492780,100551,-1461750
5/17/2004, ,-131579,1140110,-94969.3,-913561
5/18/2004, ,-131579,1572471,-99207.3,-1341690
5/19/2004, ,-131579,1235894,-61797,-1042520
5/20/2004, ,-131579,1656054,-105604,-1418870
5/21/2004, ,-131579,1235746,864.131,-1105030
5/22/2004, ,-131579,1314187,-110822,-1071790
5/23/2004, ,-131579,1660925,-92062.1,-1437280
5/24/2004, ,-131579,2641900,-4367.53,-2505950
5/25/2004, ,-131579,3322526,-34249.4,-3156700
5/26/2004, ,-131579,5612399,-63689.2,-5417130
5/27/2004, ,-131579,6421278,280979,-6570680
5/28/2004, ,-131579,4465030,63631,-4397080
5/29/2004, ,-131579,3175677,-62953.7,-2981140
5/30/2004, ,-131579,2424901,-89758.9,-2203560
5/31/2004, ,-131579,3542027,-85240.5,-3325210
6/1/2004, ,-131579,4435700,100971,-4405090
6/2/2004,655738, ,5292960,-6527.44,-5942170
6/3/2004,655738, ,3263574,203237,-4122550
6/4/2004,655738, ,2137093,-96383.6,-2696450
6/5/2004,655738, ,1995747,-91757.2,-2559730
6/6/2004,655738, ,1665088,-35785.8,-2285040
6/7/2004,791224, ,1324214,-31435.6,-2084000
6/8/2004,1307421, ,1056190,-112114,-2251500
6/9/2004,842584, ,1226334,-124215,-1944700
6/10/2004,1122502, ,983043,-37457.3,-2068090
6/11/2004,1634546, ,814309,-118014,-2330840
6/12/2004,1624552, ,732510,-97213.2,-2259850
6/13/2004,1439464, ,693448,-93526.4,-2039390
6/14/2004,1626155, ,660915,-101668,-2185400
6/15/2004,1783824, ,634568,-112319,-2306070
6/16/2004,1665608, ,616142,-128748,-2153000
6/17/2004,1206975, ,1147889,-123958,-2230910
6/18/2004,1001208, ,987526,223601,-2212340
6/19/2004,1675397, ,737571,-91192.8,-2321780
6/20/2004,1714000, ,641605,-117482,-2238120
6/21/2004,2041606, ,625332,-92287.5,-2574650
6/22/2004,1834197, ,742299,-100341,-2476150
6/23/2004,2019342, ,642322,-48997.2,-2612670
6/24/2004,1659388, ,601656,-110185,-2150860
6/25/2004,1502024, ,745769,-114232,-2133560
6/26/2004,986426, ,1291200,-23825,-2253800
6/27/2004,1285500, ,959161,4388.52,-2249050
6/28/2004,842284, ,1487958,-97891,-2232350
6/29/2004,1408427, ,1274504,39302.7,-2722230
6/30/2004,2023353, ,871435,-88596.3,-2806190
7/1/2004,1526459, ,818851,-112389,-2232920
7/2/2004,1989452, ,806264,-79511.7,-2716200
7/3/2004,1889611, ,700014,-115340,-2474280
7/4/2004,2350638, ,647953,-110145,-2888450
7/5/2004,1925999, ,1166988,-108943,-2984040
7/6/2004,1082619, ,814820,88331.2,-1985770
7/7/2004,785622, ,1706074,-110160,-2381540
7/8/2004,916465, ,1357519,56295.6,-2330280
7/9/2004,1383027, ,1003269,-96176.3,-2290120
7/10/2004,1764284, ,768570,-104774,-2428080
7/11/2004,2236191, ,706851,-112231,-2830810
7/12/2004,1306446, ,1085683,-119852,-2272280
7/13/2004,1162740, ,918484,143393,-2224620
7/14/2004, ,-871025,3925731,-96246.4,-2958460
7/15/2004, ,-1500350,3702209,323786,-2525650
7/16/2004, ,-852268,2904238,22423.4,-2074390
7/17/2004,555061, ,2253397,-55660.1,-2752800
7/18/2004,533121, ,2522599,-76078.7,-2979640
7/19/2004, ,-353830,3529059,-36722.6,-3138510
7/20/2004, ,-482598,2870202,57306.3,-2444910
7/21/2004,1258536, ,1993593,-98781.7,-3153350
7/22/2004,866153, ,1579667,-117513,-2328310
7/23/2004, ,-817323,3640591,-117415,-2705850
7/24/2004,174525, ,2237594,154853,-2566970
7/25/2004,758061, ,1466017,-109731,-2114350
7/26/2004, ,-383127,2125554,-98541.6,-1643890
7/27/2004, ,-14515900,16411438,165563,-2061110
7/28/2004, ,-5628250,12343941,861216,-7576900
7/29/2004,655738, ,5806986,45948.2,-6508670
7/30/2004,655738, ,4003057,-117743,-4541050
7/31/2004,655738, ,4212999,-66300.7,-4802440
8/1/2004,655738, ,3267816,81623.8,-4005180
8/2/2004,443770, ,2203807,-71965.2,-2575610
8/3/2004,1003884, ,1619059,-118681,-2504260
8/4/2004, ,-158115,2606458,-87616.1,-2360730
8/5/2004,656033, ,1697344,103195,-2456570
8/6/2004,1213017, ,1188108,-94080.7,-2307040
8/7/2004,1993982, ,1009317,-84400.3,-2918900
8/8/2004,2347361, ,902071,-94976.4,-3154460
8/9/2004,3069206, ,763823,-96767.6,-3736260
8/10/2004,3230416, ,811574,-104500,-3937490
8/11/2004,1746511, ,1160783,-44647.5,-2862650
8/12/2004, ,-1895110,4360425,11167.8,-2476480
8/13/2004, ,-5754880,7314206,192697,-1752020
8/14/2004, ,-2827280,4453949,191690,-1818360
8/15/2004, ,-3835260,7035799,-103459,-3097080
8/16/2004, ,-2328940,5461768,41036.1,-3173860
8/17/2004, ,-1009860,4083030,22108.9,-3095280
8/18/2004, ,-131579,2885038,-93706.4,-2659750
8/19/2004,1156219, ,2237238,-102955,-3290500
8/20/2004, ,-287854,2685031,-103480,-2293700
8/21/2004, ,-1263100,4590078,-3055.52,-3323920
8/22/2004, ,-131579,3086343,199617,-3154380
8/23/2004,1229837, ,2081443,-85159.8,-3226120
8/24/2004,912543, ,1474354,-2618.88,-2384280
8/25/2004,2280233, ,1148112,-103283,-3325060
8/26/2004,1850187, ,970105,-99193.8,-2721100
8/27/2004,985136, ,884932,-95746.6,-1774320
8/28/2004,2445668, ,1154458,-102476,-3497650
8/29/2004,1535603, ,915038,32620.1,-2483260
8/30/2004,1031949, ,2900476,-82903.2,-3849520
8/31/2004,1081606, ,1688833,435790,-3206230
9/1/2004,2361776, ,1202369,-99505.1,-3464640
9/2/2004,2056043, ,1022912,-89514.1,-2989440
9/3/2004,1805609, ,948594,-88762.6,-2665440
9/4/2004,2546109, ,881967,-93036.2,-3335040
9/5/2004,2402670, ,814328,-97957.5,-3119040
9/6/2004,2316632, ,748313,-97104.9,-2967840
9/7/2004,1794918, ,680178,-90455.9,-2384640
9/8/2004, ,-1625580,5162436,-93814,-3443040
9/9/2004, ,-4022620,6872472,614788,-3464640
9/10/2004, ,-846159,3910501,162698,-3227040
9/11/2004,999964, ,2440882,-84205.9,-3356640
9/12/2004,174754, ,2187972,-86086,-2276640
9/13/2004,1233968, ,1926837,-84964.8,-3075840
9/14/2004,1494866, ,1669500,-88525.3,-3075840
9/15/2004,1212392, ,1446534,-79886.3,-2579040
9/16/2004,1044381, ,1149612,-82377,-2111620
9/17/2004, ,-15865200,17867008,-84580.6,-1917220
9/18/2004, ,-15989900,38826628,1411700,-24248400
9/19/2004, ,-131579,19551776,774368,-20194600
9/20/2004, ,-131579,7723661,-62439.2,-7529640
9/21/2004, ,-131579,5620720,-63992,-5425150
9/22/2004, ,-131579,4039491,-72957.7,-3834950
9/23/2004, ,-131579,2965399,-74299.4,-2759520
9/24/2004,667693, ,2255938,-77614.6,-2846020
9/25/2004,1531610, ,1745129,-85123.3,-3191620
9/26/2004,1049060, ,1273223,-37866.3,-2284420
9/27/2004,2069034, ,981359,-74776.3,-2975620
9/28/2004, ,-2591570,5872006,-67220.4,-3213220
9/29/2004, ,-1084490,3721720,597585,-3234820
9/30/2004, ,-218943,3136720,-50161.6,-2867620
10/1/2004,131503, ,2812855,-17126.4,-2927230
10/2/2004, ,-472795,2945714,-64365.4,-2408550
10/3/2004,420432, ,2661863,-11248.8,-3071050
10/4/2004,160236, ,2177784,-57115,-2280900
10/5/2004,856688, ,1957498,-57803,-2756380
10/6/2004,733624, ,1604849,-45306,-2293170
10/7/2004,1092613, ,1301356,-50076,-2343890
10/8/2004,1060319, ,1089734,-58392.6,-2091660
10/9/2004,1369600, ,945040,-64393.6,-2250250
10/10/2004,1753572, ,848519,-59757.5,-2542330
10/11/2004,1213652, ,788646,-54730.7,-1947570
10/12/2004,1799602, ,745549,-44344.8,-2500810
10/13/2004,621591, ,710949,-48997.7,-1283540
10/14/2004,978376, ,713976,-48021.2,-1644330
10/15/2004, ,-701750,2249224,-34832.7,-1512640
10/16/2004, ,-126617,1484351,396130,-1753860
10/17/2004,455877, ,1139191,-2715.73,-1592350
10/18/2004, ,-326150,2234328,-35862.2,-1872320
10/19/2004, ,-4039640,5481679,86629.7,-1528670
10/20/2004, ,-3254290,4151116,278441,-1175260
10/21/2004, ,-3642490,5324074,-6456.58,-1675130
10/22/2004, ,-3308740,4655504,95974.8,-1442740
10/23/2004, ,-2144970,3339532,-42644.6,-1151920
